id,title,description,keyword,risk_label
11,"Freight Forwarders Insist Ghana Port Strike Is Live, Dismiss Suspension Claims","Strike The Joint Business Forum has firmly rejected reports that the ongoing industrial action at Ghana’s ports has been called off, insisting the strike remains fully active and will continue until the government delivers concrete responses to concerns over the Publican Digital Inspection Solution, the artificial intelligence (AI) customs valuation system at the centre of [&#8230;]The post Freight Forwarders Insist Ghana Port Strike Is Live, Dismiss Suspension Claims appeared first on Ghanamma.com.",port strike,labour_strike
12,Inside the battle to contain the huge Trafford Park rubber factory fire,'The priorities for us were to contain that scene and make sure people in the surrounding area were kept safe',factory fire,natural_disaster
13,Dandenong factory up in smoke during suspicious blaze,A plume of black smoke from a suspicious factory-fire has blanketed parts of Dandenong this morning (21 April). Fire crews were called to the 150-square-metre factory in Wachope Lane after a Triple Zero call about 6.50am. A Fire Rescue Victoria (FRV) spokesperson said firefighters were on scene within four minutes. The blaze was brought under [&#8230;],factory fire,natural_disaster
14,Jaguar Land Rover halts production at its biggest car factory for a fortnight due to parts supply issue as wider UK vehicle outputs hit the rocks,The British car maker has been forced to temporary pause outputs of Range Rovers at Solihull due to a shortage of parts after a major supplier in Norway suffered a factory fire.,factory fire,material_shortage
15,Hundreds honor lives lost in Triangle Shirtwaist factory fire on 115th anniversary,"Contract faculty joined over 200 community members for a Wednesday memorial outside NYU’s Brown Building, where 146 garment workers died in the Triangle Shirtwaist factory fire that paved the way for expanded labor protections nationwide.  The annual memorial  — organized by the Remember the Triangle Fire Coalition, NYU, the New York City Fire Department and...This story Hundreds honor lives lost in Triangle Shirtwaist factory fire on 115th anniversary appeared first on Washington Square News.",factory fire,natural_disaster
16,OPINION | We’re forgetting the lessons of the Triangle Shirtwaist Factory fire,This story was originally published in the Forward. Click here to get the Forward&#8217;s free email newsletters delivered to your inbox. When the young women of the Triangle Shirtwaist Factory [&#8230;],factory fire,natural_disaster
17,Safety failures exposed in deadly Daejeon factory fire,"A deadly fire at an auto parts factory in Daejeon has raised urgent questions about industrial safety, after 14 people were killed and 60 injured.",factory fire,natural_disaster
18,South Korean officials investigate what caused massive factory fire that killed 14,Fire at factory in central city of Daejeon one of South Korea’s deadliest industrial accidents in recent years,factory fire,natural_disaster
19,At Least 10 Killed in South Korean Factory Fire - The New York Times,"At Least 10 Killed in South Korean Factory Fire&nbsp;&nbsp;The New York TimesAt least 14 people killed in fire at South Korean car parts factory&nbsp;&nbsp;The GuardianSouth Korea: Factory fire injures dozens, workers trapped&nbsp;&nbsp;DW.comAt least 14 people killed in massive fire at South Korean car parts factory, officials say&nbsp;&nbsp;NBC NewsFire at Korean car parts factory kills 14, injures 60&nbsp;&nbsp;Reuters",factory fire,natural_disaster
20,At Least 14 Killed in South Korean Factory Fire,"Survivors jumped from windows to escape the blaze, the deadliest at a factory in South Korea in two years. Four people are still missing.",factory fire,natural_disaster
21,Officials say at least 10 people were killed in a South Korean factory fire,"South Korean rescue workers on Saturday recovered 10 bodies from the charred wreckage of an auto parts factory in the central city of Daejeon, where a blaze likely…",factory fire,natural_disaster
22,Eltek Q1 Earnings Call Highlights,"Eltek (NASDAQ:ELTK) reported a sharp year-over-year decline in first-quarter 2026 results, with management attributing the weaker performance to backlog timing, logistics constraints, raw-material shortages and foreign exchange pressure rather than a change in underlying demand.Chief Executive Off",raw material shortage,no_risk
23,Mosaic Q1 Earnings Call Highlights,"Mosaic (NYSE:MOS) executives said the company is cutting costs, curtailing some phosphate production and reducing capital spending as geopolitical disruptions drive raw material shortages and pressure fertilizer industry margins. On the company’s first-quarter 2026 earnings call, President and Chief Executive Officer Bruce Bodine said the business climate remains “challenging” and “very dynamic,” with conflicts affecting [&#8230;]",raw material shortage,material_shortage
24,Mosaic Q1 Earnings Call Highlights,"Mosaic (NYSE:MOS) executives said the company is cutting costs, curtailing some phosphate production and reducing capital spending as geopolitical disruptions drive raw material shortages and pressure fertilizer industry margins.On the company’s first-quarter 2026 earnings call, President and Chie",raw material shortage,material_shortage
25,Raw material shortage hits pencil slat industry,"Manufacturers allege that plywood industry is aggressively outbidding them for softwoods from Vatta and Ilavu, the most suitable for pencil production",raw material shortage,material_shortage
26,Fabricating solutions: Inside Tyndall's metals technology shop [Image 4 of 5],"U.S. Air Force Senior Airman Andrew Collier, 325th Maintenance Squadron metals technology journeyman, inspects recently completed 3D-printed covers at Tyndall Air Force Base, Florida, April 22, 2026. Producing these aircraft table covers in-house eliminates logistical delays and reduces the labor hours required to return combat aircraft to mission-capable status. (U.S. Air Force photo by Airman 1st Class Rosario Garcia)",logistics delay,no_risk
27,NOV Q1 Earnings Call Highlights,"NOV (NYSE:NOV) reported first-quarter 2026 revenue of $2.05 billion and net income of $19 million, or $0.05 per fully diluted share, as the company navigated significant disruption tied to conflict in the Middle East. On the call, executives said the situation constrained logistics, delayed deliveri",logistics delay,no_risk
28,MERA Admits Fuel Supply Disruptions but Insists No National Shortage as Logistics Delays Hit Malawi,"The Malawi Energy Regulatory Authority (MERA) has acknowledged ongoing fuel supply disruptions across parts of the country, attributing the situation to logistical challenges while firmly dismissing fears of a nationwide shortage. In a statement dated 24 March 2026, MERA said it is aware of growing public concern over intermittent fuel availability, as well as widespread [&#8230;]The post MERA Admits Fuel Supply Disruptions but Insists No National Shortage as Logistics Delays Hit Malawi appeared first on Malawi Nyasa Times - News from Malawi about Malawi.",logistics delay,logistics
29,INEC: We’ll Issue Revised Timetable for 2027 General Election Inline With New Electoral Act,•Commences review of  transport logistics model for effective performance •Vows to blacklist transporters that caused delay during FCT area council elections •Queries staff that cause logistic delay Adedayo Akinwale in,logistics delay,political
30,Logistical issues delay voting in AMAC unit,"Voting in parts of the Federal Capital Territory began on a mixed note Saturday, with logistical delays and low turnoutread more Logistical issues delay voting in AMAC unit",logistics delay,logistics
