title,description,source,published_at,url,keyword
"Freight Forwarders Insist Ghana Port Strike Is Live, Dismiss Suspension Claims","Strike The Joint Business Forum has firmly rejected reports that the ongoing industrial action at Ghana’s ports has been called off, insisting the strike remains fully active and will continue until the government delivers concrete responses to concerns over the Publican Digital Inspection Solution, the artificial intelligence (AI) customs valuation system at the centre of [&#8230;]The post Freight Forwarders Insist Ghana Port Strike Is Live, Dismiss Suspension Claims appeared first on Ghanamma.com.",Ghana MMA,2026-04-16T00:34:43+00:00,https://www.ghanamma.com/2026/04/16/freight-forwarders-insist-ghana-port-strike-is-live-dismiss-suspension-claims/,port strike
Inside the battle to contain the huge Trafford Park rubber factory fire,'The priorities for us were to contain that scene and make sure people in the surrounding area were kept safe',Manchester Evening News,2026-04-24T20:44:11+00:00,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/inside-battle-contain-huge-trafford-33835979,factory fire
Dandenong factory up in smoke during suspicious blaze,A plume of black smoke from a suspicious factory-fire has blanketed parts of Dandenong this morning (21 April). Fire crews were called to the 150-square-metre factory in Wachope Lane after a Triple Zero call about 6.50am. A Fire Rescue Victoria (FRV) spokesperson said firefighters were on scene within four minutes. The blaze was brought under [&#8230;],greaterdandenongweekly,2026-04-21T02:57:33+00:00,https://dandenong.starcommunity.com.au/news/2026-04-21/dandenong-factory-up-in-smoke-during-suspicious-blaze/,factory fire
Jaguar Land Rover halts production at its biggest car factory for a fortnight due to parts supply issue as wider UK vehicle outputs hit the rocks,The British car maker has been forced to temporary pause outputs of Range Rovers at Solihull due to a shortage of parts after a major supplier in Norway suffered a factory fire.,dailymail,2026-03-27T10:14:25+00:00,https://www.dailymail.co.uk/money/cars/article-15684197/JLR-pause-production-biggest-car-factory-fortnight-parts-supply-issue.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,factory fire
Hundreds honor lives lost in Triangle Shirtwaist factory fire on 115th anniversary,"Contract faculty joined over 200 community members for a Wednesday memorial outside NYU’s Brown Building, where 146 garment workers died in the Triangle Shirtwaist factory fire that paved the way for expanded labor protections nationwide.  The annual memorial  — organized by the Remember the Triangle Fire Coalition, NYU, the New York City Fire Department and...This story Hundreds honor lives lost in Triangle Shirtwaist factory fire on 115th anniversary appeared first on Washington Square News.",nyunews,2026-03-26T11:00:51+00:00,https://nyunews.com/news/2026/03/26/triangle-shirtwaist-factory-contract-faculty/,factory fire
OPINION | We’re forgetting the lessons of the Triangle Shirtwaist Factory fire,This story was originally published in the Forward. Click here to get the Forward&#8217;s free email newsletters delivered to your inbox. When the young women of the Triangle Shirtwaist Factory [&#8230;],jweekly,2026-03-24T17:26:56+00:00,https://jweekly.com/2026/03/24/were-forgetting-the-lessons-of-the-triangle-shirtwaist-factory-fire/,factory fire
Safety failures exposed in deadly Daejeon factory fire,"A deadly fire at an auto parts factory in Daejeon has raised urgent questions about industrial safety, after 14 people were killed and 60 injured.",upiasia,2026-03-23T23:48:55+00:00,https://www.upi.com/Top_News/World-News/2026/03/23/fire-auto-parts-factory-daejeon/6631774308506/,factory fire
South Korean officials investigate what caused massive factory fire that killed 14,Fire at factory in central city of Daejeon one of South Korea’s deadliest industrial accidents in recent years,Independent,2026-03-22T12:01:22+00:00,https://www.independent.co.uk/asia/east-asia/south-korea-daejeon-car-parts-factory-fire-deaths-b2943353.html,factory fire
​At Least 10 Killed in South Korean Factory Fire - The New York Times,"​At Least 10 Killed in South Korean Factory Fire&nbsp;&nbsp;The New York TimesAt least 14 people killed in fire at South Korean car parts factory&nbsp;&nbsp;The GuardianSouth Korea: Factory fire injures dozens, workers trapped&nbsp;&nbsp;DW.comAt least 14 people killed in massive fire at South Korean car parts factory, officials say&nbsp;&nbsp;NBC NewsFire at Korean car parts factory kills 14, injures 60&nbsp;&nbsp;Reuters",Google News World US,2026-03-21T12:55:22+00:00,https://news.google.com/rss/articles/CBMiigFBVV95cUxQX1I4RmhFTk5DZ3Nkamsyd1BTRTk2bkxwbkxJb1hqUkFuYmRUMENHSS0yeDdUd3AtVjd2VUY5cmdSaWdLWEZJZldyNTBoQWI0VUo5cTlPbnhjX1phQkotUUlVY3AxZmZORVUtNzVSRmRKSkJ2aFNKSjhCeVNnU0xPd1ZadXdTSjNFblE?oc=5,factory fire
​At Least 14 Killed in South Korean Factory Fire,"Survivors jumped from windows to escape the blaze, the deadliest at a factory in South Korea in two years. Four people are still missing.",The New York Times,2026-03-21T12:15:47+00:00,https://www.nytimes.com/2026/03/20/world/asia/south-korea-factory-fire-deaths.html,factory fire
Officials say at least 10 people were killed in a South Korean factory fire,"South Korean rescue workers on Saturday recovered 10 bodies from the charred wreckage of an auto parts factory in the central city of Daejeon, where a blaze likely…",japantoday,2026-03-21T02:30:49+00:00,https://japantoday.com/category/world/fire-at-south-korean-auto-parts-factory-injures-at-least-50,factory fire
Eltek Q1 Earnings Call Highlights,"Eltek (NASDAQ:ELTK) reported a sharp year-over-year decline in first-quarter 2026 results, with management attributing the weaker performance to backlog timing, logistics constraints, raw-material shortages and foreign exchange pressure rather than a change in underlying demand.Chief Executive Off",lulegacy,2026-05-19T14:14:21+00:00,https://www.marketbeat.com/instant-alerts/eltek-q1-earnings-call-highlights-2026-05-19/,raw material shortage
Mosaic Q1 Earnings Call Highlights,"Mosaic (NYSE:MOS) executives said the company is cutting costs, curtailing some phosphate production and reducing capital spending as geopolitical disruptions drive raw material shortages and pressure fertilizer industry margins. On the company’s first-quarter 2026 earnings call, President and Chief Executive Officer Bruce Bodine said the business climate remains “challenging” and “very dynamic,” with conflicts affecting [&#8230;]",americanbankingnews,2026-05-12T05:06:45+00:00,https://www.americanbankingnews.com/2026/05/12/mosaic-q1-earnings-call-highlights.html,raw material shortage
Mosaic Q1 Earnings Call Highlights,"Mosaic (NYSE:MOS) executives said the company is cutting costs, curtailing some phosphate production and reducing capital spending as geopolitical disruptions drive raw material shortages and pressure fertilizer industry margins.On the company’s first-quarter 2026 earnings call, President and Chie",lulegacy,2026-05-12T05:06:25+00:00,https://www.marketbeat.com/instant-alerts/mosaic-q1-earnings-call-highlights-2026-05-12/,raw material shortage
Raw material shortage hits pencil slat industry,"Manufacturers allege that plywood industry is aggressively outbidding them for softwoods from Vatta and Ilavu, the most suitable for pencil production",The Hindu,2026-02-04T13:58:46+00:00,https://www.thehindu.com/news/national/kerala/raw-material-shortage-hits-pencil-slat-industry/article70591757.ece,raw material shortage
Fabricating solutions: Inside Tyndall's metals technology shop [Image 4 of 5],"U.S. Air Force Senior Airman Andrew Collier, 325th Maintenance Squadron metals technology journeyman, inspects recently completed 3D-printed covers at Tyndall Air Force Base, Florida, April 22, 2026. Producing these aircraft table covers in-house eliminates logistical delays and reduces the labor hours required to return combat aircraft to mission-capable status. (U.S. Air Force photo by Airman 1st Class Rosario Garcia)",dvidshub,2026-05-13T16:11:06+00:00,https://www.dvidshub.net/image/9681294/fabricating-solutions-inside-tyndalls-metals-technology-shop,logistics delay
NOV Q1 Earnings Call Highlights,"NOV (NYSE:NOV) reported first-quarter 2026 revenue of $2.05 billion and net income of $19 million, or $0.05 per fully diluted share, as the company navigated significant disruption tied to conflict in the Middle East. On the call, executives said the situation constrained logistics, delayed deliveri",lulegacy,2026-04-29T01:41:45+00:00,https://www.marketbeat.com/instant-alerts/nov-q1-earnings-call-highlights-2026-04-28/,logistics delay
MERA Admits Fuel Supply Disruptions but Insists No National Shortage as Logistics Delays Hit Malawi,"The Malawi Energy Regulatory Authority (MERA) has acknowledged ongoing fuel supply disruptions across parts of the country, attributing the situation to logistical challenges while firmly dismissing fears of a nationwide shortage. In a statement dated 24 March 2026, MERA said it is aware of growing public concern over intermittent fuel availability, as well as widespread [&#8230;]The post MERA Admits Fuel Supply Disruptions but Insists No National Shortage as Logistics Delays Hit Malawi appeared first on Malawi Nyasa Times - News from Malawi about Malawi.",Nyasa Times,2026-03-25T03:53:21+00:00,https://www.nyasatimes.com/mera-admits-fuel-supply-disruptions-but-insists-no-national-shortage-as-logistics-delays-hit-malawi/,logistics delay
INEC: We’ll Issue Revised Timetable for 2027 General Election Inline With New Electoral Act,•Commences review of  transport logistics model for effective performance •Vows to blacklist transporters that caused delay during FCT area council elections •Queries staff that cause logistic delay Adedayo Akinwale in,thisdaylive,2026-02-25T15:31:55+00:00,https://www.thisdaylive.com/2026/02/25/inec-well-issue-revised-timetable-for-2027-general-election-inline-with-new-electoral-act/,logistics delay
Logistical issues delay voting in AMAC unit,"Voting in parts of the Federal Capital Territory began on a mixed note Saturday, with logistical delays and low turnoutread more Logistical issues delay voting in AMAC unit",businessdayonline,2026-02-21T09:41:41+00:00,https://businessday.ng/news/article/logistical-issues-delay-voting-in-amac-unit/,logistics delay
